Token,POS
tsohle,PROQUANT10
.,ZE
,
Ha,CONJ
re,CSPERS
sebetsa,V
mmoho,ADV
",",ZM
re,CSPERS
ka,MORPHPOT
etsa,V
haholwanyane,ADV
.,ZE
,
Ditho,N08
tse,CS08
hlomphehileng,V
",",ZM
,
Selemong,N07
sena,CD07
se,CS07
hodimo,NLOC
",",ZM
re,CSPERS
tla,MORPHFUT
tshwaya,V
dilemo,N08
tse,ADJC08
lekgolo,N05
tsa,CPOSS08
ho,CN15
thehwa,V
ha,CPOSSLOC
Kopano,N09
ya,CPOSS09
Aforika,NPP
Borwa,N14
",",ZM
e,CS09
thehilweng,V
ka,PART
1910,RV
.,ZE
,
Sa,CPOSS07
bohlokwa,N14
ke,VCOP
hore,CONJ
",",ZM
ho,CN15
qhelelwa,V
ka,PART
thoko,N09
ha,CPOSSLOC
batho,N02
ba,ADJC02
batsho,ADJ02
.,ZE
,
Kopanong,N09
ena,CD09
e,CS09
bile,VCOP
le,ADJC05
leng,ADJ05
la,CPOSS05
mabaka,N06
a,ADJC06
maholo,ADJ06
a,CPOSS06
hore,CONJ
Mokgatlo,N03
wa,CPOSS03
African,RV
National,RV
Congress,RV
o,CS03
thehwe,V
ka,PART
1912,RS
.,ZE
,
Ha,CONJ
re,CSPERS
tla,MORPHFUT
be,VCOP
re,CSPERS
tshwaya,V
dilemo,N08
tsena,CD08
tse,ADJC08
lekgolo,N05
selemong,N07
sena,CD07
",",ZM
re,CSPERS
lokela,VAUX
ho,CN15
thuhisa,V
le,PART
ho,CN15
hopola,V
tsela,N09
eo,CD09
re,CSPERS
e,CO09
tsamaileng,V
jwaleka,ADV
naha,N09
.,ZE
,
Ditho,N08
tse,CS08
hlomphehileng,V
",",ZM
,
"""",ZPL
Re,CSPERS
hopola,V
mantswe,N06
a,CPOSS06
Madiba,N01a
ha,CONJ
a,CS01
ne,VAUX
a,CS01
lokollwa,V
",",ZM
ha,CONJ
a,CS01
ne,VAUX
a,CS01
re,V
mme,CONJ
ke,CSPERS
a,MORPHPRES
qotsa,V
:,ZM
,
Ke,CSPERS
eme,V
ka,PART
pele,NLOC
ho,PART
lona,PROEMPPERS
",",ZM
e,CSNEUT
seng,MNEG
jwaloka,ADV
moporofeta,N01
empa,CONJ
jwaloka,ADV
mosebeletsi,N01
ya,CS01
ikokobeditseng,V
wa,CPOSS01
lona,PROPOSSPERS
",",ZM
setjhaba,N07
.,ZE
,
Boikitlaetso,N14
ba,CPOSS14
lona,PROPOSSPERS
bo,CS14
se,MNEG
nang,VCOP
ho,CN15
lekanngwa,V
ke,PART
bona,PROEMP14
bo,CS14
entseng,V
hore,CONJ
ke,CSPERS
be,VCOP
mona,CD18
kajeno,ADV
.,ZE
,
Ha,CONJ
ho,CSINDEF
le,VCOP
jwalo,ADV
",",ZM
ke,CSPERS
beha,V
dilemo,N08
tse,CS08
setseng,V
tsa,CPOSS08
ho,CN15
phela,V
ha,PROPOSS15
ka,PART
matsohong,N06
a,CPOSS06
lona,PROPOSSPERS
.,ZE
"""",ZPL
,
Mantswe,N06
ana,CD06
a,CS06
re,COPERS
kgothatsa,V
hore,CONJ
re,CSPERS
se,MNEG
ke,MNEG
ra,CSPERS
phomola,V
ho,CN15
fihlela,V
re,CSPERS
fihlella,V
ditabatabelo,N10
tsa,CPOSS10
ho,CN15
ba,VCOP
setjhaba,N07
se,CS07
lokolohileng,V
bofumeng,N14
le,PART
bohloking,N14
.,ZE
,
Dilemong,N08
tse,ADJC08
mashome,N06
a,ADJC06
mabedi,ADJ06
e,CSNEUT
sa,MORPHPROG
le,VCOP
Madiba,N01a
a,CS01
lokollwa,V
",",ZM
naha,N09
ya,CPOSS09
rona,PROPOSSPERS
e,CS09
fetohile,V
haholo,ADV
.,ZE
,
Mopresidente,N01
Mandela,N01a
o,CS01
kopantse,V
naha,N09
ena,CD09
ka,PART
sepheo,N07
sa,CPOSS07
ho,CN15
re,V
e,CS09
hloke,V
kgethollo,N09
ka,PART
bong,N14
",",ZM
ka,PART
botjhaba,N14
",",ZM
mme,CONJ
e,CS09
be,VCOP
naha,N09
ya,CPOSS09
demokerasi,N09
le,PART
Aforika,NPP
Borwa,N14
e,CS09
tswetseng,V
pele,NLOC
.,ZE
,
Kajeno,ADV
ha,CONJ
re,CSPERS
keteka,V
tokoloho,N09
ya,CPOSS09
Madiba,N01a
",",ZM
ha,CONJ
re,CSPERS
itlameng,V
hore,CONJ
re,CSPERS
tla,MORPHFUT
aha,V
bokamoso,N14
bo,CS14
betere,ADJ14
bakeng,N07
sa,CPOSS07
maAfrika,NPP
Borwa,N14
oohle,PROQUANT06
",",ZM
ba,ADJC02
batsho,ADJ02
le,PART
ba,ADJC02
basweu,ADJ02
.,ZE
,
Ha,CONJ
re,CSPERS
latelleng,V
toro,N09
ena,CD09
ya,CPOSS09
Madiba,N01a
ya,CS01
e,CO09
lwanetseng,V
bophelo,N14
ba,CPOSS14
hae,PROPOSSPERS
bohle,PROQUANT14
",",ZM
toro,N09
ya,CPOSS09
setjhaba,N07
sa,CPOSS07
demokerasi,N09
se,CS07
lokolohileng,V
",",ZM
moo,CD18
batho,N02
ba,CS02
phelang,V
mmoho,ADV
ka,PART
kutlwano,N09
le,PART
menyetla,N04
e,CS04
lekanang,V
.,ZE
,
Ditho,N08
tse,CS08
hlomphehileng,V
",",ZM
,
Re,CSPERS
bitsitse,V
kopanelo,N09
ena,CD09
ya,CPOSS09
palamente,N09
bosiu,N14
hore,CONJ
bongata,N14
ba,CPOSS14
batho,N02
ka,PART
naheng,N09
",",ZM
basebetsi,N02
le,PART
bana,N02
ba,CPOSS02
dikolo,N08
",",ZM
e,CSNEUT
be,VCOP
karolo,N09
ya,CPOSS09
morero,N03
ona,CD03
.,ZE
,
Re,CSPERS
kgahlisitswe,V
ke,PART
morolo,N03
o,CS03
bontshitsweng,V
ke,PART
batjha,N02
ka,PART
morero,N03
ona,CD03
.,ZE
,
Bana,N02
ba,ADJC02
206,RV
ba,CS02
tswang,V
diprovenseng,N10
tsohle,PROQUANT10
ba,CS02
bile,VCOP
teng,NLOC
dingangisanong,N10
tsa,CPOSS10
mantlha,N06
tse,CS10
etellang,V
pele,NLOC
puo,N09
e,CS09
mabapi,ADV
le,PART
Maemo,N06
a,CPOSS06
Setjhaba,N07
bakeng,N07
sa,CPOSS07
karolo,N09
eo,CD09
batjha,N02
ba,CS02
ka,MORPHPOT
e,CO09
bapalang,V
twantshong,N09
ya,CPOSS09
bofuma,N14
.,ZE
,
Re,CSPERS
thoholetsa,V
mohlodi,N03
wa,CPOSS03
kakaretso,N09
",",ZM
Charlotte,N01a
Le,N01a
Fleur,N01a
wa,CPOSS01
Worcester,RV
Secondary,RV
School,RV
",",ZM
le,PART
ba,CS02
nka,V
karolo,N09
bohle,PROQUANT02
bakeng,N07
sa,CPOSS07
tshebetso,N09
e,CS09
matla,N06
.,ZE
,
Baheso,N02
le,PART
metswalle,N04
",",ZM
,
Re,CSPERS
kopana,V
kamorao,NLOC
ho,PART
maemo,N06
a,CS06
thekeselang,V
a,CPOSS06
moruo,N03
wa,CPOSS03
lefatshe,N05
.,ZE
,
Ngwahola,ADV
",",ZM
re,CSPERS
bile,VCOP
le,PART
maemo,N06
a,ADJC06
mabe,ADJ06
a,CPOSS06
moruo,N03
lekgetlo,N05
la,CPOSS05
pele,NLOC
dilemong,N08
tse,ADJC08
17,RV
.,ZE
,
Maemo,N06
ana,CD06
a,ADJC06
mabe,ADJ06
a,CPOSS06
moruo,N03
a,CS06
entse,V
hore,CONJ
re,CSPERS
lahlehelwe,V
ke,PART
mesebetsi,N04
e,ADJC04
900,RV
000,RV
.,ZE
,
Boholo,N14
ba,CPOSS14
bao,CD02
ba,CS02
lahlehetsweng,V
ke,PART
mesebetsi,N04
e,CS09
ne,VAUX
e,CS09
le,VCOP
bona,PROEMP02
ba,CS02
jereng,V
malapa,N06
a,CS06
futsanehileng,V
.,ZE
,
Selemong,N07
se,CS07
fetileng,V
ka,PART
Hlakola,N09
",",ZM
mmuso,N03
",",ZM
dikgwebo,N10
",",ZM
baemedi,N02
ba,CPOSS02
basebetsi,N02
le,PART
baahi,N02
ba,CS02
ile,VAUX
ba,CS02
dumellana,V
ka,PART
sehlopha,N07
sa,CPOSS07
mekgwa,N04
ya,CPOSS04
ho,CN15
fokotsa,V
sekgahla,N07
sa,CPOSS07
maemo,N06
ana,CD06
a,ADJC06
mabe,ADJ06
a,CPOSS06
moruo,N03
.,ZE
,
Re,CSPERS
kentse,V
bongata,N14
ba,CPOSS14
mekgwa,N04
ena,CD04
tshebetsong,N09
.,ZE
,
Re,CSPERS
kentshe,V
tshebetsong,N09
mekgwa,N04
e,CS04
matla,N06
kgahlanong,N09
le,PART
maemo,N06
a,ADJC06
mabe,ADJ06
a,CPOSS06
moruo,N03
jwaloka,ADV
mmuso,N03
ka,PART
ho,CN15
kgina,V
metheo,N04
ya,CPOSS04
setjhaba,N07
.,ZE
,
Bakeng,N07
sa,CPOSS07
ho,CN15
bebofatsa,V
mathata,N06
a,CS06
ba,CS02
futsanehileng,V
",",ZM
re,CSPERS
potlakisitse,V
ho,CN15
nyollwa,V
ha,CONJ
ditjhelete,N10
tsa,CPOSS10
letlole,N05
la,CPOSS05
thuso,N09
la,CPOSS05
tshehetso,N09
ya,CPOSS09
bana,N02
",",ZM
mme,CONJ
ra,CSPERS
eketsa,V
dilemo,N08
tsa,CPOSS08
bana,N02
ba,CS02
lokelang,VAUX
ho,CN15
fumana,V
tshehetso,N09
ya,CPOSS09
tjhelete,N09
ya,CPOSS09
thuso,N09
ka,PART
ho,CN15
kenyeletsa,V
le,PART
bana,N02
ba,CPOSS02
dilemo,N08
tse,ADJC08
ka,PART
hodimo,NLOC
ho,PART
tse,ADJC08
14,RV
.,ZE
,
Dilemong,N08
tse,ADJC08
tharo,ADJ08
tse,CS08
tlang,V
",",ZM
bana,N02
ba,CPOSS02
tlatsetso,N09
ba,CS02
dimilione,N10
tse,ADJC10
pedi,ADJ10
ba,CS02
tswang,V
malapeng,N06
le,PART
matlong,N06
a,CS06
futsanehileng,V
",",ZM
ba,CS02
dilemo,N08
tse,ADJC08
15,RV
ho,CN15
ya,V
ho,PART
18,RV
",",ZM
ba,CS02
tla,MORPHFUT
una,V
molemo,N03
letloleng,N05
la,CPOSS05
thuso,N09
ya,CPOSS09
tshehetso,N09
ya,CPOSS09
bana,N02
.,ZE
,
Koporasi,N09
ya,CPOSS09
Ntshetsopele,N09
ya,CPOSS09
Diindaseteri,N10
e,CS09
beheletse,V
ka,PART
thoko,N09
dibilione,N10
tse,CS10
tsheletseng,V
tsa,CPOSS10
diranta,N10
ho,CN15
thusa,V
dikhamphani,N10
tse,CS10
tlokotsing,N09
.,ZE
,
Mmuso,N03
o,CS03
tlile,V
ka,PART
leano,N05
le,CS05
bitswang,V
"""",ZPL
sekema,N07
sa,CPOSS07
thupello,N09
"""",ZPL
bakeng,N07
sa,CPOSS07
ho,CN15
fa,V
basebetsi,N02
nako,N09
ya,CPOSS09
kwetliso,N09
ho,CSINDEF
na,VCOP
le,PART
hore,CONJ
ba,CS02
fokotswe,V
mosebetsing,N03
.,ZE
,
Mekutu,N04
ena,CD04
e,CS04
ile,VAUX
ya,CS04
phahamiswa,V
ke,PART
Lenaneo,N05
la,CPOSS05
Mesebetsi,N04
ya,CPOSS04
Setjhaba,N07
la,CPOSS05
rona,PROPOSSPERS
.,ZE
,
Setjhaba,N07
se,CS07
tla,MORPHFUT
hopola,V
hore,CONJ
Puong,N09
ya,CPOSS09
Maemo,N06
a,CPOSS06
Setjhaba,N07
ka,PART
2009,RV
",",ZM
ke,CSPERS
ile,VAUX
ka,CSPERS
tsebisa,V
hore,CONJ
Lenaneo,N05
le,CS05
Ekeditsweng,V
la,CPOSS05
Mesebetsi,N04
le,CS05
tla,MORPHFUT
hlahisa,V
menyetla,N04
ya,CPOSS04
mesebetsi,N04
e,ADJC04
500,RV
000,RV
ka,PART
Tshitwe,N09
2009,RV
.,ZE
,
Ena,CD04
ke,VCOP
menyetla,N04
ya,CPOSS04
mesebetsi,N04
e,CS04
hlahisitsweng,V
ho,CN15
fana,V
ka,PART
menyetla,N04
ya,CPOSS04
mosebetsi,N03
ho,PART
batho,N02
ba,CS02
sa,MNEG
sebetseng,V
hore,CONJ
ba,CS02
be,VCOP
le,PART
lekeno,N05
la,CPOSS05
tjhelete,N09
",",ZM
le,PART
hore,CONJ
ba,CS02
thole,V
boiphihlelo,N14
le,PART
menyetla,N04
ya,CPOSS04
thupello,N09
.,ZE
,
Ditho,N08
tse,CS08
hlomphehileng,V
",",ZM
maAforika,NPP
Borwa,N14
a,CPOSS06
heso,PROPOSSPERS
",",ZM
,
Re,CSPERS
thabela,V
ho,CN15
tsebisa,V
hore,CONJ
mafelong,N06
Tshitwe,N09
",",ZM
re,CSPERS
hlahisitse,V
menyetla,N04
ya,CPOSS04
mesebetsi,N04
e,ADJC04
480,RV
000,RV
ya,CPOSS04
mesebetsi,N04
ya,CPOSS04
setjhaba,N07
",",ZM
seo,CD07
e,CS04
leng,VCOP
97%,RS
ya,CPOSS04
seo,CD07
re,CSPERS
neng,VAUX
re,CSPERS
se,CO07
rerile,V
.,ZE
,
Mesebetsi,N04
ena,CD04
e,CS04
dikarolong,N10
tse,CS10
kang,V
tsa,CPOSS10
ho,CN15
aha,V
",",ZM
tlhokomelong,N10
tsa,CPOSS10
malapa,N06
le,PART
tsa,CPOSS10
baahi,N02
",",ZM
le,PART
diporojekeng,N10
tsa,CPOSS10
tikoloho,N09
.,ZE
,
Re,CSPERS
hlwaile,V
dibaka,N08
tse,CS08
itseng,V
tsa,CPOSS08
ntlafatso,N09
",",ZM
tseo,CD08
re,CSPERS
tla,MORPHFUT
sebetsanang,V
le,PART
tsona,PROEMP08
ho,CN15
ya,V
pele,NLOC
ho,CN15
kenyeletsa,V
le,PART
diporojeke,N10
tse,CS10
batlang,V
basebetsi,N02
ba,ADJC02
bangata,ADJ02
.,ZE
,
Re,CSPERS
ya,V
tseba,V
hore,CONJ
tsena,CD10
le,PART
mekutu,N04
e,ADJC04
meng,ADJ04
di,CS10
ke,MNEG
ke,MNEG
tsa,CS10
lwantshana,V
le,PART
sefutho,N07
sa,CPOSS07
ikonomi,N09
e,CS09
putlameng,V
.,ZE
,
Re,CSPERS
lebohela,V
moya,N03
o,ADJC03
motle,ADJ03
wa,CPOSS03
lelapa,N05
",",ZM
boahi,N14
le,PART
mosebetsi,N03
wa,CPOSS03
boithaopi,N14
o,CS03
bontshitsweng,V
ke,PART
batho,N02
ba,ADJC02
bangata,ADJ02
bakeng,N07
sa,CPOSS07
ho,CN15
thusa,V
bao,CD02
ba,CS02
anngweng,V
ke,PART
tlokotsi,N09
ena,CD09
",",ZM
hara,NLOC
dinako,N10
tsena,CD10
tse,CS10
boima,N14
.,ZE
,
Ditho,N08
tse,CS08
hlomphehileng,V
",",ZM
,
Matshwao,N06
a,CPOSS06
ikonomi,N09
a,CS06
bontsha,V
hore,CONJ
re,CSPERS
batla,V
re,CSPERS
bona,V
ntlafalo,N09
ya,CPOSS09
maemo,N06
.,ZE
,
Maemo,N06
a,CPOSS06
ikonomi,N09
a,CS06
a,MORPHPRES
ntlafala,V
Aforika,NPP
Borwa,N14
",",ZM
mme,CONJ
re,CSPERS
lebeletse,V
kgolo,N09
ya,CPOSS09
moruo,N03
ho,CN15
ya,V
pele,NLOC
.,ZE
,
Dipalopalo,N10
tsa,CPOSS10
basebetsi,N02
tse,CS10
lokollotsweng,V
ka,PART
Labobedi,N05
",",ZM
di,CS10
bontsha,V
hore,CONJ
ha,CONJ
jwale,ADV
ikonomi,N09
e,CS09
hlahisa,V
mesebetsi,N04
ho,CN15
fapana,V
le,PART
ho,CN15
e,CO04
fokotsa,V
.,ZE
,
Le,PART
ha,CONJ
ho,CSINDEF
le,VCOP
jwalo,ADV
",",ZM
e,CSNEUT
sa,MORPHPROG
le,VCOP
kapele,ADV
haholo,ADV
hore,CONJ
re,CSPERS
ka,MORPHPOT
netefatsa,V
sekgahla,N07
seo,CD07
ikonomi,N09
e,CS09
nyolohang,V
ka,PART
sona,PROEMP07
.,ZE
,
Mmuso,N03
le,PART
ha,CONJ
ho,CSINDEF
le,VCOP
jwalo,ADV
o,CS03
ke,MNEG
ke,MNEG
wa,CS03
hula,V
mekutu,N04
ya,CPOSS04
ona,CD03
ya,CPOSS04
tshehetso,N09
.,ZE
,
Jwale,ADV
ke,VCOP
nako,N09
ya,CPOSS09
ho,CN15
etsa,V
motheo,N03
bakeng,N07
sa,CPOSS07
kgolo,N09
e,CS09
matla,N06
ho,CN15
ya,V
pele,NLOC
",",ZM
le,PART
kgolo,N09
e,CS09
tla,MORPHFUT
tswala,V
mesebetsi,N04
e,ADJC04
mengata,ADJ04
.,ZE
,
Lenaneo,N05
la,CPOSS05
rona,PROPOSSPERS
la,CPOSS05
nako,N09
e,ADJC09
telele,ADJ09
la,CPOSS05
motheo,N03
wa,CPOSS03
setjhaba,N07
le,CS05
tla,MORPHFUT
re,COPERS
thusa,V
ho,CN15
hola,V
ka,PART
potlako,N09
.,ZE
,
Thuto,N09
ya,CPOSS09
rona,PROPOSSPERS
le,PART
mananeo,N06
a,CPOSS06
bokgoni,N14
di,CS10
tla,MORPHFUT
phahamisa,V
tlhahiso,N09
le,PART
hlodisano,N09
.,ZE
,
Leano,N05
la,CPOSS05
rona,PROPOSSPERS
la,CPOSS05
Tshebetso,N09
ya,CPOSS09
Indaseteri,N09
le,PART
ho,CN15
tsepamisa,V
maikutlo,N06
ho,PART
mesebetsi,N04
e,CS04
bolokehileng,V
ya,CPOSS04
temo,N09
bakeng,N07
sa,CPOSS07
tikoloho,N09
",",ZM
di,CS10
tla,MORPHFUT
aha,V
dindaseteri,N10
tse,ADJC10
ngata,ADJ10
le,PART
tse,ADJC10
matla,N06
bakeng,N07
sa,CPOSS07
ho,CN15
hohela,V
basebetsi,N02
.,ZE
,
Lenaneo,N05
la,CPOSS05
rona,PROPOSSPERS
la,CPOSS05
ntshetsopele,N09
ya,CPOSS09
dibaka,N08
tsa,CPOSS08
mahae,N06
le,CS05
tla,MORPHFUT
ntlafatsa,V
tlhahiso,N09
ya,CPOSS09
mahaeng,N06
",",ZM
le,PART
maphelo,N06
a,CPOSS06
baahi,N02
ba,CPOSS02
metseng,N04
ya,CPOSS04
mahae,N06
.,ZE
,
Seo,CD07
e,CSNEUT
leng,VCOP
sa,CPOSS07
bohlokwa,N14
mawaleng,N06
a,CPOSS06
rona,PROPOSSPERS
a,CPOSS06
ho,CN15
hodisa,V
le,PART
ho,CN15
tsoseletsa,V
moruo,N03
",",ZM
ke,VCOP
lenaneo,N05
la,CPOSS05
rona,PROPOSSPERS
la,CPOSS05
ho,CN15
tsetela,V
meahong,N04
.,ZE
,
Dilemong,N08
tse,ADJC08
tharo,ADJ08
tse,CS08
tlang,V
",",ZM
mmuso,N03
o,CS03
tla,MORPHFUT
sebedisa,V
dibilione,N10
tse,ADJC10
R846,RV
hodima,NLOC
metheo,N04
ya,CPOSS04
setjhaba,N07
.,ZE
,
Bakeng,N07
sa,CPOSS07
dipalangwang,N10
",",ZM
re,CSPERS
tla,MORPHFUT
boloka,V
mebila,N04
ya,CPOSS04
rona,PROPOSSPERS
maemong,N06
a,ADJC06
matle,ADJ06
le,PART
ho,CN15
atolosa,V
marangrang,N06
a,CPOSS06
ditsela,N10
tsa,CPOSS10
rona,PROPOSSPERS
.,ZE
,
Re,CSPERS
tla,MORPHFUT
netefatsa,V
hore,CONJ
marangrang,N06
a,CPOSS06
rona,PROPOSSPERS
a,CPOSS06
seporo,N07
sa,CPOSS07
terene,N09
ke,VCOP
a,CS06
tshepahalang,V
",",ZM
a,CPOSS06
maemong,N06
a,CPOSS06
hlodisano,N09
mme,CONJ
a,CS06
hokahantswe,V
betere,ADV
le,PART
maemakepe,N06
a,CPOSS06
rona,PROPOSSPERS
.,ZE
,
Ho,CN15
netefatsa,V
phano,N09
e,CS09
tshepahalang,V
ya,CPOSS09
motlakase,N03
",",ZM
re,CSPERS
theile,V
Komite,N09
ya,CPOSS09
Kahare,N09
ya,CPOSS09
Matona,N06
e,CS09
shebaneng,V
le,PART
matla,N06
a,CPOSS06
motlakase,N03
ho,CN15
hlabolla,V
leano,N05
la,CPOSS05
dilemo,N08
tse,ADJC08
a,CPOSS06
20,RV
la,CPOSS05
mehlodi,N04
e,CS04
kopanetsweng,V
.,ZE
,
Hara,NLOC
tse,ADJC10
ding,ADJ10
",",ZM
sena,CD07
se,CS07
tla,MORPHFUT
shebana,V
ho,CN15
nka,V
karolo,N09
ha,CONJ
bahlahisi,N02
ba,CS02
ikemetseng,V
ba,CS02
matla,N06
a,CPOSS06
motlakase,N03
",",ZM
le,PART
ho,CN15
tshireletsa,V
bafutsana,N02
kgahlanong,N09
le,PART
ditjeo,N10
tse,CS10
phahameng,V
tsa,CPOSS10
motlakase,N03
.,ZE
,
Re,CSPERS
tla,MORPHFUT
theha,V
mohlahisi,N01
ya,CS01
ikemetseng,V
",",ZM
ya,CS01
se,MNEG
nang,VCOP
kopano,N09
le,PART
Eskom,RK
Holdings,RV
.,ZE
,
Eskom,RK
e,CS09
tla,MORPHFUT
tswelapele,V
ho,CN15
aha,V
keketseho,N09
ya,CPOSS09
ho,CN15
fehla,V
motlakase,N03
le,PART
ho,CN15
ntlafatsa,V
paballo,N09
ya,CPOSS09
diteishene,N08
tsa,CPOSS08
motlakase,N03
.,ZE
,
Bakeng,N07
sa,CPOSS07
ho,CN15
ntshetsapele,V
ikonomi,N09
e,CS09
kenyeletsang,V
ho,CN15
thusa,V
kgolo,N09
le,PART
ntshetsopele,N09
",",ZM
re,CSPERS
thehile,V
Lekgotla,N05
la,CPOSS05
ho,CN15
Matlafatsa,V
Batho,N02
ba,ADJC02
Batsho,ADJ02
Ikonoming,N09
ka,PART
ho,CN15
Phatlalla,V
",",ZM
leo,CD05
modulasetulo,N01
wa,CPOSS01
lona,PROPOSSPERS
e,CS01
leng,VCOP
Mopresidente,N01
.,ZE
,
Se,CS07
potlakileng,V
haholo,ADV
ke,VCOP
hore,CONJ
ho,CN15
tsepamiswe,V
maikutlo,N06
ho,CN15
fetoleng,V
leano,N05
ka,PART
ho,CN15
kena,V
ka,PART
setotswana,N07
ho,CN15
hlahiseng,V
mesebetsi,N04
bakeng,N07
sa,CPOSS07
batjha,N02
.,ZE
,
Sekgahla,N07
sa,CPOSS07
ho,CN15
hloka,V
mosebetsi,N03
batjheng,N02
ba,CPOSS02
rona,PROPOSSPERS
se,CCOP07
hodimo,NLOC
haholo,ADV
ho,PART
palohare,N09
.,ZE
,
Ditshisinyo,N10
di,CS10
tla,MORPHFUT
behwa,V
tafoleng,N09
bakeng,N07
sa,CPOSS07
ho,CN15
tshehetsa,V
ka,PART
ditjhelete,N10
ditjeo,N10
tsa,CPOSS10
ho,CN15
hira,V
basebetsi,N02
ba,ADJC02
batjha,ADJ02
dilemong,N08
",",ZM
bakeng,N07
sa,CPOSS07
ho,CN15
kgothaletsa,V
difeme,N10
ho,CN15
hira,V
batho,N02
ba,CS02
se,MNEG
nang,VCOP
boiphihlelo,N14
.,ZE
,
Ho,CSINDEF
na,VCOP
le,PART
mananeo,N06
a,ADJC06
mang,ADJ06
a,CPOSS06
katoloso,N09
ya,CPOSS09
ho,CN15
hirwa,V
ha,CPOSS15
setjhaba,N07
a,CS06
leng,VCOP
tseleng,N09
.,ZE
,
Sena,CD07
se,CS07
kenyeletsa,V
motheo,N03
wa,CPOSS03
tsa,CPOSS10
lehae,N05
le,PART
diporojeke,N10
tsa,CPOSS10
thuto,N09
e,CS09
phahameng,V
le,PART
diporejeke,N10
tsa,CPOSS10
ho,CN15
ithuta,V
ho,CN15
bala,V
",",ZM
tlhokomelo,N09
ya,CPOSS09
lapeng,N05
",",ZM
paballo,N09
ya,CPOSS09
dikolo,N08
le,PART
merero,N04
ya,CPOSS04
ntshetsopele,N09
ya,CPOSS09
bana,N02
.,ZE
,
Selemong,N07
se,CS07
fetileng,V
re,CSPERS
thehile,V
Boemedi,N14
ba,CPOSS14
Naha,N09
Ntshetsopeleng,N09
ya,CPOSS09
Batjha,N02
.,ZE
,
Re,CSPERS
laetse,V
lekala,N05
lena,CD05
ho,CN15
sebetsa,V
ka,PART
potlako,N09
bakeng,N07
sa,CPOSS07
ho,CN15
theha,V
makala,N06
a,CPOSS06
lona,PROPOSSPERS
",",ZM
naheng,N09
ka,PART
bophara,N14
",",ZM
hore,CONJ
le,CS05
re,COPERS
thuse,V
ho,CN15
sebetsana,V
le,PART
ho,CN15
phethahatsa,V
mananeo,N06
a,CPOSS06
ntshetsopele,N09
ya,CPOSS09
batjha,N02
ka,PART
hara,NLOC
mmuso,N03
.,ZE
,
Ditho,N08
tse,CS08
hlomphehileng,V
",",ZM
,
Ha,CONJ
mmuso,N03
ona,CD03
o,CS03
ne,VAUX
o,CS03
kena,V
kantorong,N09
selemong,N07
se,CS07
fetileng,V
",",ZM
re,CSPERS
itlamme,V
ho,CN15
menahanya,V
boikitlaetso,N14
ba,CPOSS14
rona,PROPOSSPERS
ba,CPOSS14
ho,CN15
aha,V
mmuso,N03
o,CS03
matla,N06
o,CS03
tswelang,V
pele,NLOC
.,ZE
,
Re,CSPERS
itse,V
e,CSNEUT
tla,MORPHFUT
ba,VCOP
mmuso,N03
o,CS03
arabelang,V
ditlhoko,N10
le,PART
ditakatso,N10
tsa,CPOSS10
batho,N02
",",ZM
le,PART
o,CS03
sebetsang,V
betere,ADV
le,PART
ka,PART
potlako,N09
.,ZE
,
Selemo,N07
sena,CD07
",",ZM
e,CSNEUT
leng,VCOP
2010,RV
",",ZM
e,CSNEUT
tla,MORPHFUT
ba,VCOP
selemo,N07
sa,CPOSS07
ho,CN15
sebetsa,V
.,ZE
,
Seo,CD07
e,CSNEUT
tla,MORPHFUT
ba,VCOP
sesupo,N07
se,CS07
hlalosang,V
tsamaiso,N09
ena,CD09
e,CSNEUT
tla,MORPHFUT
ba,VCOP
hore,CONJ
e,CSNEUT
tseba,V
moo,CD18
batho,N02
ba,CS02
dulang,V
",",ZM
e,CSNEUT
utlwisisa,V
ditlhoko,N10
mme,CONJ
e,CSNEUT
arabela,V
ka,PART
potlako,N09
.,ZE
,
Mmuso,N03
o,CS03
lokela,VAUX
ho,CN15
sebetsa,V
ka,PART
potlako,N09
",",ZM
haholo,ADV
le,PART
ka,PART
makgethe,N06
.,ZE
,
Re,CSPERS
tla,MORPHFUT
lebella,V
hore,CONJ
Bookamedi,N14
le,PART
Tshebeletso,N09
ya,CPOSS09
Setjhaba,N07
di,CS10
ipapise,V
le,PART
pono,N09
ena,CD09
.,ZE
,
Re,CSPERS
aha,V
mmuso,N03
o,CS03
tsepamisitseng,V
maikutlo,N06
tshebetsong,N09
",",ZM
ka,PART
ho,CN15
ntlafatsa,V
meralo,N04
le,PART
ho,CN15
beha,V
tshebetso,N09
leihlo,N05
le,PART
ho,CN15
e,CO09
hlahloba,V
.,ZE
,
Re,CSPERS
boetse,V
re,CSPERS
lokela,VAUX
ho,CN15
hokahanya,V
mekgwa,N04
ya,CPOSS04
tekatekano,N09
ya,CPOSS09
bong,N14
ho,PART
Lenaneo,N05
la,CPOSS05
Mmuso,N03
la,CPOSS05
Tshebetso,N09
.,ZE
,
Mohato,N03
ona,CD03
wa,CPOSS03
tshebetso,N09
o,CS03
tla,MORPHFUT
netefatsa,V
hore,CONJ
basadi,N02
",",ZM
bana,N02
le,PART
batho,N02
ba,CS02
nang,VCOP
le,PART
boqhwala,N14
ba,CS02
kgona,VAUX
ho,CN15
fihlella,V
menyetla,N04
ya,CPOSS04
ntshetsopele,N09
.,ZE
,
Re,CSPERS
