Token,POS
dikopo,N10
tse,ADJC10
ntjha,ADJ10
le,PART
diphetolo,N10
ngodisong,N09
e,CS09
ntseng,VAUX
e,CS09
le,VCOP
teng,NLOC
",",ZM
ho,CSINDEF
kenyelletswa,V
le,PART
phetolo,N09
ya,CPOSS09
popeho,N09
ka,PART
bobedi,N14
.,ZE
,
Tlatsa,V
diforomo,N10
ka,PART
botlalo,N14
",",ZM
ntle,NLOC
le,PART
ho,CN15
sheba,V
morao,NLOC
dikopong,N10
tsa,CPOSS10
pejana,NLOC
",",ZM
dinomoro,N10
tsa,CPOSS10
maqephe,N06
kapa,CONJ
dihlahiswa,N08
tse,ADJC08
ding,ADJ08
(,ZPL
bonyane,N14
khopi,N09
e,ADJC09
le,VCOP
nngwe,ADJ09
ya,CPOSS09
diforomo,N10
tsa,CPOSS10
kopo,N09
e,CS09
lokela,VAUX
ho,CN15
ba,V
le,PART
tshaeno,N09
ya,CPOSS09
mantlha,N06
.,ZE
,
E,ADJC09
nngwe,ADJ09
e,CS09
ka,PART
ba,V
khopi,N09
),ZPR
.,ZE
,
Motho,N01
ya,CS01
kgethuweng,V
semolao,N07
",",ZM
ya,CS01
lokelang,VAUX
ho,CN15
ba,V
eo,CD09
Rejistra,N01a
a,CS01
tla,PART
iteanya,V
le,PART
yena,PROEMP01
khampaning,N09
",",ZM
o,CS01
lokela,VAUX
ho,CN15
saena,V
diforomo,N10
tsa,CPOSS10
kopo,N09
.,ZE
,
Lebitso,N05
le,PART
nomoro,N09
ya,CPOSS09
ngodiso,N09
ya,CPOSS09
sehlahiswa,N07
di,CS10
lokelwa,VAUX
ho,CN15
sebediswa,V
jwalo,ADV
ka,PART
ha,CONJ
ho,CSINDEF
boletswe,V
setifikeiting,N07
sa,CPOSS07
ngodiso,N09
.,ZE
,
Phetoho,N09
efe,ENUM
kapa,CONJ
efe,ENUM
ya,CPOSS09
lebitso,N05
",",ZM
le,PART
ha,CONJ
ho,CSINDEF
ka,V
hanyenyane,ADV
jwang,QUE
",",ZM
e,CS09
tla,PART
nkuwa,V
e,CS09
le,VCOP
phetolo,N09
.,ZE
,
Romela,V
diforomo,N10
tsa,CPOSS10
kopo,N09
ofising,N09
ya,CPOSS09
tsamaiso,N09
.,ZE
,
Ho,CN15
fana,V
ka,PART
diforomo,N10
tsa,CPOSS10
kopo,N09
ho,PART
di-Technical,N10
Adviser,RV
ho,CN15
ka,PART
diehisa,V
mosebetsi,N03
.,ZE
,
Moralo,N03
wa,CPOSS03
dileibole,N10
:,ZM
,
o,CSPERS
e,CO09
romele,V
ka,PART
bobedi,N14
,
o,CSPERS
romela,V
ka,PART
puo,N09
ya,CPOSS09
Senyesemane,N07
le,PART
ya,CPOSS09
Afrikanse,N07
.,ZE
,
Ha,CONJ
ho,CSINDEF
hlokehe,V
hore,CONJ
dileibole,N10
di,CS10
hatiswe,V
ka,PART
dipuo,N10
tseo,CD10
tse,CS10
pedi,ADJ10
,
o,CSPERS
lokela,VAUX
ho,CN15
hlaka,V
;,ZM
ka,PART
mokgwa,N03
o,CS03
nepahetseng,V
,
o,CSPERS
se,MNEG
ke,MNEG
wa,CSPERS
kenya,V
dinomoro,N10
ditemosong,N10
le,PART
ditlhokomedisong,N10
,
dintlha,N10
tsohle,PROQUANT10
tse,CS10
leiboleng,N05
di,CS10
lokela,VAUX
ho,CN15
tsamaelana,V
hantle,ADV
le,PART
tseo,CD10
tse,CS10
foromong,N09
ya,CPOSS09
kopo,N09
.,ZE
,
Ditokelo,N10
tsa,CPOSS10
bamedisi,N02
ba,CS02
dimela,N08
di,CS10
nehelwa,V
feela,ADV
bakeng,N07
sa,CPOSS07
mefuta,N04
e,CS04
fapaneng,V
ya,CPOSS09
dimela,N08
e,CS09
phatlaladitsweng,V
ho,PART
Plant,RV
Breeders,RV
',ZPR
Rights,RV
Act,RV
",",ZM
1976,RS
(,ZPL
Molao,N03
wa,CPOSS03
Ditokelo,N10
tsa,CPOSS10
Bamedisi,N02
ba,CS02
Dimela,N08
",",ZM
1976,RS
),ZPR
.,ZE
,
Mefuta,N04
e,CS04
ka,PART
bang,V
290,RS
ya,CPOSS09
dimela,N08
e,CS03
kenyeleditswe,V
ho,PART
lenaneo,N05
la,CPOSS05
dimela,N08
(,ZPL
Hlohlomiso,N09
1,RS
),ZPR
e,CS04
ka,PART
nehelwang,V
bakeng,N07
sa,CPOSS07
ditokelo,N10
tsa,CPOSS10
bamedisi,N02
ba,CS02
dimela,N08
.,ZE
,
Mongodisi,N01
wa,CPOSS01
Ditokelo,N10
tsa,CPOSS10
Bamedisi,N02
ba,CS02
Dimela,N08
a,CS01
ka,PART
nka,V
mofuta,N03
o,CSPERS
itseng,V
jwalo,ADV
ka,PART
o,CS03
motjha,ADJ03
mme,CONJ
a,CS01
nehele,V
ka,PART
ditokelo,N10
tsa,CPOSS10
bamedisi,N02
ba,CS02
dimela,N08
ha,CONJ
:,ZM
,
Disebediswa,N10
tsa,CPOSS10
katiso,N09
ya,CPOSS09
mofuta,N03
oo,CD03
di,CS10
so,VAUX
ka,PART
di,CS10
rekiswa,V
mona,CD18
Afrika,N09
Borwa,N14
nakong,N09
e,CS09
fetang,V
selemo,N07
.,ZE
,
Maemong,N06
a,CS06
mofuta,N03
wa,CPOSS03
sefate,N07
kapa,CONJ
sefate,N07
sa,CPOSS07
morara,N03
",",ZM
moo,CD18
disebediswa,N10
tsa,CPOSS10
katiso,N09
di,CS10
so,VAUX
ka,PART
di,CS10
fumaneha,V
naheng,N09
e,CS09
nngwe,ADJ09
",",ZM
ho,PART
tsa,CPOSS10
kgwebo,N09
kapa,CONJ
setjhabeng,N07
nakong,N09
e,CS09
fetang,V
dilemo,N08
tse,CS10
tsheletseng,V
",",ZM
kapa,CONJ
maemong,N06
a,CS06
semela,N07
sefe,ENUM
kapa,CONJ
sefe,ENUM
se,CS07
seng,ADJ07
",",ZM
nakong,N09
ya,CPOSS09
dilemo,N08
tse,CS08
fetang,V
tse,CS08
nne,ADJ08
.,ZE
,
Disebediswa,N08
tsa,CPOSS08
katiso,N09
di,CS08
tlameha,VAUX
ho,CN15
tsamaelana,V
le,PART
ditlhoko,N10
tsa,CPOSS10
DUS,RK
(,ZPL
DUS,RK
eo,CD09
ka,PART
Sesotho,N07
e,CS09
leng,VCOP
ho,CN15
hlaka,V
",",ZM
ho,CN15
tshwana,V
le,PART
botsitso,N14
),ZPR
:,ZM
,
se,CS07
tlameha,VAUX
ho,CN15
aroleha,V
ka,PART
ho,CN15
hlakileng,V
ho,PART
mofuta,N03
o,CS03
fe,ENUM
kapa,CONJ
o,CS03
fe,ENUM
o,CS03
mong,ADJ03
wa,CPOSS03
leloko,N05
le,CS05
tshwanang,V
,
se,CS07
tlameha,VAUX
ho,CN15
tshwana,V
",",ZM
ke,VCOP
ho,CN15
re,V
",",ZM
dimela,N08
tsohle,PROQUANT08
temong,N09
di,CS08
tlameha,VAUX
ho,CN15
shebehala,V
di,CS08
tshwana,V
mme,CONJ
di,CS08
be,V
le,PART
makgetha,N06
a,CS06
tshwanang,V
,
se,CS07
tlameha,VAUX
ho,CN15
ba,V
le,PART
botsitso,N14
",",ZM
ke,VCOP
ho,CN15
re,V
",",ZM
dimela,N08
mofuteng,N03
o,CS03
itseng,V
di,CS08
tlameha,V
",",ZM
ka,PART
mora,N18
ho,CSINDEF
lengwa,V
makgetlokgetlo,N06
",",ZM
di,CS08
nne,VAUX
di,CS08
shebahale,V
di,CS08
tshwana,V
le,PART
dimela,N08
tsa,CPOSS08
sethatho,N07
,
se,CS07
tlameha,VAUX
ho,CN15
ba,V
le,PART
lebitso,N05
le,CS05
amohelehileng,V
.,ZE
,
Sheba,V
Hlohlomiso,N09
1,RS
ya,CPOSS09
Plant,RV
Breeders,RV
',ZPR
Rights,RV
Act,RV
(,ZPL
Molao,N03
wa,CPOSS03
Ditokelo,N10
tsa,CPOSS10
Bamedisi,N02
ba,CPOSS02
Dimela,N08
),ZPR
ho,CN15
etsa,V
bonnete,N14
ba,CPOSS02
hore,CONJ
na,QUE
mofuta,N03
wa,CPOSS03
semela,N07
sa,CPOSS07
mokga,N03
o,CS03
hlokang,V
tshireletso,N09
",",ZM
o,CS03
phatlaladitswe,V
na,QUE
.,ZE
,
Ha,CONJ
e,CSNEUT
le,VCOP
hore,CONJ
mofuta,N03
wa,CPOSS03
semela,N07
ha,CONJ
o,CS03
hlahe,V
hlohlomisong,N09
",",ZM
romela,V
kopo,N09
bakeng,N07
sa,CPOSS07
phatlalatso,N09
mmoho,ADV
le,PART
tshehetso,N09
e,CS09
ngotsweng,V
ho,PART
Mongodisi,N01
wa,CPOSS01
Ditokelo,N10
tsa,CPOSS10
Bamedisi,N02
ba,CPOSS02
Dimela,N08
.,ZE
,
Ha,CONJ
mofuta,N03
wa,CPOSS03
semela,N07
o,CS03
le,VCOP
teng,NLOC
hlohlomisong,N09
",",ZM
dintho,N10
tse,CS10
latelang,V
di,CS10
tlameha,VAUX
ho,CN15
romelwa,V
:,ZM
,
foromo,N09
ya,CPOSS09
kopo,N09
e,CS09
tlatsitsweng,V
ka,PART
botlalo,N14
,
technical,RV
questionnaire,RV
(,ZPL
Lethathama,N05
la,CPOSS05
dipotso,N10
tsa,CPOSS10
botegniki,N14
),ZPR
,
tefo,N09
e,CS09
balletsweng,V
ya,CPOSS09
kopo,N09
le,PART
hlahlobo,N09
,
peo,N09
kapa,CONJ
disebediswa,N08
tsa,CPOSS08
katiso,N09
,
nehelano,N09
ya,CPOSS09
matla,N06
e,CS09
ngotsweng,V
e,CS09
tswang,V
ho,PART
monga,N01
semela,N07
",",ZM
ha,CONJ
o,CS01
sa,MNEG
se,CS07
medise,V
",",ZM
wa,CPOSS01
se,CO07
kgetha,V
kapa,CONJ
wa,CS01
ntshetsa,V
pele,NLOC
mokga,N03
.,ZE
,
Bontsha,V
ka,PART
mokgwa,N03
o,CS01
hlakileng,VAUX
ho,PART
lethathama,N05
la,CPOSS05
dipotso,N10
hore,CONJ
mokga,N03
o,CS03
motjha,ADJ03
o,CS03
tshwanela,VAUX
ho,CN15
bapiswa,V
le,PART
mekga,N04
efe,ENUM
e,CS04
meng,ADJ04
e,CS04
tsejwang,VAUX
ho,CN15
hlomamisa,V
boikgetho,N14
.,ZE
,
O,CSPERS
ka,PART
etsa,V
kopo,N09
ya,CPOSS09
tshireletso,N09
ya,CPOSS09
nakwana,N09
ya,CPOSS09
tumellano,N09
ya,CPOSS09
mokga,N03
.,ZE
,
Hona,PROEMPLOC
ho,CSINDEF
bolela,V
hore,CONJ
mokga,N03
o,CS03
sireleditswe,V
bakeng,N07
sa,CPOSS07
nako,N09
ya,CPOSS09
tekolo,N09
.,ZE
,
O,CSPERS
tlameha,VAUX
ho,CN15
nehela,V
ka,PART
boitlamo,N14
bo,CS14
ngotsweng,V
ba,CPOSS14
ho,CN15
se,MNEG
rekise,V
(,ZPL
ntle,NLOC
le,PART
ka,PART
sepheo,N07
sa,CPOSS07
katiso,N09
kapa,CONJ
tekolo,N09
),ZPR
ntho,N09
efe,ENUM
kapa,CONJ
efe,ENUM
ya,CPOSS09
katiso,N09
ya,CPOSS09
mokgwa,N03
o,CS03
tobilweng,VAUX
ho,CSINDEF
fihlela,V
diteko,N10
kaofela,PROQUANT02
di,CS10
phethehile,V
mme,CONJ
ho,CN15
nehelanwe,V
ka,PART
ditokelo,N10
tsa,CPOSS10
bamedisi,N02
.,ZE
,
Tshireletso,N09
ya,CPOSS09
tumellano,N09
ya,CPOSS09
nakwana,N09
e,CS09
a,PART
kgothaletswa,V
bakeng,N07
sa,CPOSS07
dijalo,N08
moo,CD18
ditekolo,N10
di,CS10
nkang,V
nako,N09
e,CS09
fetang,V
selemo,N07
hore,CONJ
di,CS10
phethwe,V
.,ZE
,
Ho,CSINDEF
na,VCOP
le,PART
matsatsi,N06
a,CS06
balletsweng,V
ao,CD06
ditokomane,N10
le,PART
disebediswa,N08
tsa,CPOSS08
katiso,N09
di,CS08
tlamehang,VAUX
ho,CN15
romelwa,V
ho,PART
Mongodisi,N01
ka,PART
ona,PROEMP06
.,ZE
,
Dintlha,N10
tsa,CPOSS10
matsatsi,N06
ana,CD06
",",ZM
bongata,ADJ14
ba,CPOSS14
disebediswa,N08
tsa,CPOSS08
katiso,N09
tse,CS08
tlamehang,VAUX
ho,CN15
romelwa,V
le,PART
moo,CD18
di,CS08
tlamehang,VAUX
ho,CN15
romelwa,V
teng,NLOC
",",ZM
di,CS10
a,PART
fumaneha,V
ha,CONJ
di,CS10
kotjwa,V
ho,PART
Mongodisi,N01
.,ZE
,
Ha,CONJ
lenaneo,N05
la,CPOSS05
mokga,N03
le,CS05
le,VCOP
teng,NLOC
bakeng,N07
sa,CPOSS07
mofuta,N03
oo,CD03
ho,CSINDEF
etsuwang,V
kopo,N09
ya,CPOSS09
ditokelo,N10
tsa,CPOSS10
bamedisi,N02
ba,CPOSS02
dimela,N08
",",ZM
romela,V
dikopo,N10
ka,PART
nako,N09
e,CS09
le,VCOP
nngwe,ADJ09
ho,CN15
oka,V
nako,N09
le,PART
tjhelete,N09
.,ZE
,
Dijo,N08
tsohle,PROQUANT08
tsa,CPOSS08
ho,CN15
fepa,V
diphoofolo,N10
tse,CS10
rekwang,V
e,CSINDEF
le,VCOP
ditswantle,N08
",",ZM
tse,CS08
etsuwang,V
",",ZM
tse,CS08
hlahiswang,V
kapa,CONJ
tse,CS08
rekiswang,V
mona,CD18
Afrika,N09
Borwa,N14
di,CS08
tlameha,VAUX
ho,CN15
ngodiswa,V
ho,PART
Registrar,RV
",",ZM
Act,RV
36,RS
of,RV
1947,RS
.,ZE
,
Mokopi,N01
o,CS01
tlameha,VAUX
ho,CN15
ba,V
motho,N01
molaong,N03
",",ZM
mohlala,N03
",",ZM
John,N01a
Peter,N01a
Citizen,RV
T/A,RK
Diepsloot,RV
Stud,RV
.,ZE
,
Khampani,N09
ya,CPOSS09
mose,ADV
ha,CONJ
e,CS09
a,PART
dumellwa,VAUX
ho,CN15
etsa,V
kopo,N09
ya,CPOSS09
ho,CN15
ngodisa,V
mona,CD18
Afrika,N09
Borwa,N14
.,ZE
,
Ke,VCOP
khampani,N09
e,CS09
ngodisitsweng,V
hae,N05
mona,CD18
feela,ADV
",",ZM
moahi,N01
wa,CPOSS01
Rephaboliki,N09
ya,CPOSS09
Afrika,N09
Borwa,N14
kapa,CONJ
lekgotla,N05
le,PART
molaong,N03
le,PART
ngodisitsweng,V
mona,CD18
Afrika,N09
Borwa,N14
le,CS05
ka,PART
etsang,V
kopo,N09
ya,CPOSS09
ho,CN15
ngodisa,V
mabapi,N06
le,PART
dijo,N08
tsa,CPOSS08
phepo,N09
ya,CPOSS09
diphoofolo,N10
le,PART
menontsha,N04
.,ZE
,
Dijo,N08
tsa,CPOSS08
phepo,N09
ya,CPOSS09
diphoofolo,N10
ha,CONJ
di,CS08
kenyeletse,V
setroi,N07
",",ZM
ditlhoka,N10
",",ZM
folouru,N09
e,CS09
sa,MNEG
silwang,V
",",ZM
dijo,N08
tse,CS08
putisitsweng,V
",",ZM
sirile,V
efe,ENUM
kapa,CONJ
efe,ENUM
e,CS09
dithollo,N10
kapa,CONJ
phepo,N09
efe,ENUM
kapa,CONJ
efe,ENUM
e,CS09
lokiswang,V
ke,PART
rapolasi,N01a
bakeng,N07
sa,CPOSS07
tshebediso,N09
ya,CPOSS09
hae,PROPOSSPERS
.,ZE
,
Request,RV
the,RV
guidelines,RV
(,ZPL
Kopa,V
ditataiso,N10
),ZPR
tsa,CPOSS10
ditlhoko,N10
ka,PART
bophara,N14
bakeng,N07
sa,CPOSS07
dijo,N08
tsa,CPOSS08
phepo,N09
ya,CPOSS09
diphoofolo,N10
ho,PART
Registrar,RV
",",ZM
Act,RV
36,RS
of,RV
1947,RS
.,ZE
,
Kopo,N09
ya,CPOSS09
ngodiso,N09
ya,CPOSS09
dijo,N08
tsa,CPOSS08
phepo,N09
ya,CPOSS09
diphoofolo,N10
e,CS09
akga,V
:,ZM
,
Lengolo,N05
le,CS05
hlalosang,V
le,CS05
tswang,V
ho,PART
monga,N01
ngodiso,N09
kapa,CONJ
moemedi,N01
ya,CS01
rongweng,V
.,ZE
,
Lengolo,N05
le,CS05
hlalosang,V
le,CS05
tlameha,VAUX
ho,CN15
kenyeletsa,V
:,ZM
,
lebitso,N05
la,CPOSS05
sehlahiswa,N07
,
nomoro,N09
ya,CPOSS09
ngodiso,N09
ha,CONJ
sehlahiswa,N07
se,CS07
se,VAUX
se,CS07
ngodisitswe,V
,
lebaka,N05
la,CPOSS05
ho,CN15
etsa,V
kopo,N09
(,ZPL
hore,CONJ
na,QUE
ke,VCOP
kopo,N09
e,ADJC09
ntjha,ADJ09
",",ZM
ke,VCOP
kopo,N09
ya,CPOSS09
tokiso,N09
",",ZM
ke,VCOP
kopo,N09
ya,CPOSS09
ngodiso,N09
ya,CPOSS09
sehlahiswa,N07
se,CS07
tswalwang,V
ke,PART
se,ADJC07
seng,ADJ07
),ZPR
,
lengolo,N05
la,CPOSS05
tumello,N09
ha,CONJ
ho,CSINDEF
hlokahala,V
tumello,N09
ya,CPOSS09
monga,N01
ngodiso,N09
(,ZPL
tumello,N09
ya,CPOSS09
ngodiso,N09
ya,CPOSS09
sehlahiswa,N07
se,CS07
tswalwang,V
ke,VCOP
se,ADJC07
seng,ADJ07
kapa,CONJ
tumello,N09
ya,CPOSS09
ho,CN15
sebedisa,V
lebitso,N05
la,CPOSS05
sehlahiswa,N07
ka,PART
khampani,N09
e,ADJC09
nngwe,ADJ09
leiboleng,N05
),ZPR
,
tefiso,N09
e,CS09
nepahetseng,V
ya,CPOSS09
kopo,N09
,
tjheke,N09
e,CS09
romelwang,V
ka,PART
ho,CN15
arohana,V
le,PART
kopo,N09
e,CS09
tlameha,VAUX
ho,CN15
felehetswa,V
ke,PART
lengolo,N05
le,CS05
hlalosang,V
.,ZE
,
Ditjheke,N10
le,PART
diotoro,N10
tsa,CPOSS10
poso,N09
di,CS10
lefshwe,V
ho,PART
Director-General,RV
:,ZM
Agriculture,RV
.,ZE
,
Romela,V
diforomo,N10
(,ZPL
ka,PART
bobedi,N14
),ZPR
tsa,CPOSS10
kopo,N09
bakeng,N07
sa,CPOSS07
dikopo,N10
tse,ADJC10
ntjha,ADJ10
le,PART
ditokiso,N10
tsa,CPOSS10
ngodiso,N09
e,CS09
teng,PROEMPLOC
",",ZM
ho,CN15
kenyeletsa,V
le,PART
diphetoho,N10
sebopehong,N07
sa,CPOSS07
dijo,N08
tsa,CPOSS08
phepo,N09
.,ZE
,
Tlatsa,V
ka,PART
botlalo,N14
",",ZM
ntle,ADV
le,PART
ho,CN15
lebisa,VAUX
ho,CN15
dikopo,N10
tsa,CPOSS10
nako,N09
e,CS09
fetileng,V
",",ZM
dinomoro,N10
tsa,CPOSS10
maqephe,N06
kapa,CONJ
dihlahiswa,N08
tse,ADJC08
ding,ADJ08
(,ZPL
bonyane,N14
kopi,N09
e,ADJC09
le,VCOP
nngwe,ADJ09
ya,CPOSS09
sethatho,N07
ya,CPOSS09
diforomo,N10
tsa,CPOSS10
kopo,N09
e,CS09
tlameha,VAUX
ho,CN15
ba,V
le,PART
tshaeno,N09
ya,CPOSS09
sethatho,N07
.,ZE
,
E,ADJC09
nngwe,ADJ09
e,CS09
ka,PART
ba,V
kopi,N09
),ZPR
.,ZE
,
Diforomo,N10
tsa,CPOSS10
kopo,N09
di,CS10
tlameha,VAUX
ho,CN15
saenwa,V
ke,PART
motho,N01
ya,CS01
rongweng,V
ka,PART
molao,N03
mme,CONJ
enwa,CS01
ho,CSINDEF
ka,PART
ba,V
molemo,N03
ha,CONJ
e,CS09
le,VCOP
motho,N01
wa,CPOSS01
khampani,N09
ya,CS01
nang,VCOP
le,PART
dikgokahano,N10
le,PART
Registrar,RV
.,ZE
,
Lebitso,N05
le,PART
nomoro,N09
ya,CPOSS09
sehlahiswa,N07
di,CS10
tlameha,VAUX
ho,CN15
ba,V
jwalo,ADV
ka,PART
ha,CONJ
ho,CSINDEF
balletswe,V
ho,PART
lengolo,N05
la,CPOSS05
bopaki,N14
la,CPOSS05
ngodiso,N09
.,ZE
,
Phetoho,N09
efe,ENUM
kapa,CONJ
efe,ENUM
ya,CPOSS09
lebitso,N05
",",ZM
le,PART
ha,CONJ
e,CS09
ka,PART
ba,V
nyane,ADJ09
ha,CSLOC
kae,QUE
",",ZM
e,CS09
tla,PART
nkuwa,V
e,CS09
le,VCOP
tokiso,N09
.,ZE
,
Diforomo,N10
tsa,CPOSS10
kopo,N09
di,CS10
tlameha,VAUX
ho,CN15
nehelwa,V
ofising,N09
ya,CPOSS09
taolo,N09
.,ZE
,
Ho,CN15
nehela,V
kopo,N09
ho,PART
Baeletsi,N02
ba,CPOSS02
Botegniki,N14
ho,CS15
tla,PART
diehisa,V
tshebetso,N09
.,ZE
,
Ho,CN15
tshwasa,V
dihlapi,N10
bakeng,N07
sa,CPOSS07
boithapollo,N14
ke,VCOP
ho,CN15
kena,V
mosebetsing,N03
wa,CPOSS03
ho,CN15
romela,V
dihlapi,N10
ho,CN15
tswa,V
ka,PART
ntle,NLOC
ka,PART
sepheo,N07
sa,CPOSS07
ho,CN15
ithapolla,V
.,ZE
,
Bakeng,N07
sa,CPOSS07
ho,CN15
romela,V
dihlapi,N10
ho,CN15
tswa,V
ka,PART
ntle,NLOC
bakeng,N07
sa,CPOSS07
boithapollo,N14
",",ZM
o,CSPERS
lokela,VAUX
ho,CN15
etsa,V
kopo,N09
bakeng,N07
sa,CPOSS07
tumello,N09
ya,CPOSS09
ho,CN15
romela,V
ditlhapi,N10
ho,CN15
tswa,V
ka,PART
ntle,NLOC
",",ZM
tumello,N09
e,CS09
ntshwa,V
ke,PART
Letona,N05
la,CPOSS05
ditaba,N10
tsa,CPOSS10
Tikoloho,N09
le,PART
Bohahlaudi,N14
(,ZPL
DEA&T,RL
),ZPR
kapa,CONJ
mokgatlo,N03
o,CS03
filweng,V
tumello,N09
.,ZE
,
Hlapi,N09
e,CS09
rometsweng,VAUX
ho,CN15
tswa,V
ntle,NLOC
ha,CONJ
e,CS09
ya,CS09
lokela,V
ho,CN15
rekiswa,V
",",ZM
empa,CONJ
e,CS09
be,V
ya,CPOSS09
motho,N01
ya,CS01
e,CO09
rometseng,V
feela,CONJ
.,ZE
,
Ha,MNEG
ho,CSINDEF
motho,N01
ya,CS01
dumeletsweng,VAUX
ho,CN15
romela,V
hlapi,N09
ho,CN15
tswa,V
ka,PART
ntle,NLOC
ho,CSLOC
naha,N09
ntle,NLOC
le,PART
tumello,N09
.,ZE
,
Etsa,V
kopo,N09
bakeng,N07
sa,CPOSS07
phemiti,N09
ya,CPOSS09
ho,CN15
romela,V
hlapi,N09
ho,CN15
tswa,V
ntle,NLOC
ha,CONJ
tumello,N09
ya,CPOSS09
jwale,ADV
fellwa,V
ke,PART
nako,N09
.,ZE
,
Ebang,CONJ
o,CSPERS
hloleha,VAUX
ho,CN15
phethisa,V
ditshwanelo,N10
tsa,CPOSS10
phemiti,N09
",",ZM
phemiti,N09
e,CS09
jwalo,ADV
e,CS09
tla,PART
kginwa,V
kapa,CONJ
e,CS09
emiswe,V
.,ZE
,
Hlokomela,V
:,ZM
Phemiti,N09
ya,CPOSS09
ho,CN15
romela,V
hlapi,N09
bakeng,N07
sa,CPOSS07
boithapollo,N14
ha,CONJ
e,CS09
kenyeletse,V
hlapi,N09
ya,CPOSS09
metsi,N04
a,CS06
hlwekileng,V
e,CS09
laolwang,V
ke,PART
Lefapha,N05
la,CPOSS05
Temo,N09
.,ZE
,
Kopo,N09
bakeng,N07
sa,CPOSS07
ho,CN15
romela,V
hlapi,N09
ya,CPOSS09
metsi,N06
a,CS06
hlwekileng,V
e,CS09
etswa,V
le,PART
ho,CN15
ntshwa,V
ke,PART
Lefapha,N05
la,CPOSS05
Temo,N09
.,ZE
,
Dithibelo,N10
tse,CS10
latelwang,V
bakeng,N07
sa,CPOSS07
ho,CN15
romela,V
hlapi,N09
ho,CN15
tswa,V
ntle,NLOC
di,CS10
ya,PART
sebetsa,V
:,ZM
,
Ha,CONJ
o,CSPERS
ya,VAUX
lokela,VAUX
ho,CN15
romela,V
ho,CN15
tswa,V
ntle,NLOC
mofuta,N03
wa,CPOSS03
hlapi,N09
o,CS03
thibetsweng,VAUX
ho,CN15
latela,V
CITES,RK
.,ZE
,
(,ZPL
Bakeng,N07
sa,CPOSS07
dintlha,N10
tse,CS10
feletseng,V
ka,PART
Tumellano,N09
ya,CPOSS09
Matjhaba,N06
ya,CPOSS09
Kgwebisano,N09
ka,PART
Tse,CS10
ka,PART
nnang,VAUX
tsa,CS10
timela,V
(,ZPL
CITES,RK
),ZPR
",",ZM
le,PART
ba,CS02
ho,PART
http://www.cites.org,RV
.,ZE
,
Phemiti,N09
ya,CPOSS09
ho,CN15
romela,V
ho,CN15
tswa,V
ntle,NLOC
hlapi,N09
e,CS09
sebediswang,V
bakeng,N07
sa,CPOSS07
boithapollo,N14
le,PART
ho,CN15
jewa,V
e,CS09
tla,PART
sebetsa,V
feela,ADV
nako,N09
ya,CPOSS09
leeto,N05
la,CPOSS05
ho,CN15
ya,V
le,PART
ho,CN15
kgitla,V
naheng,N09
eo,CD09
hlapi,N09
e,CS09
latwang,V
teng,NLOC
.,ZE
,
Ha,CONJ
o,CS01
ya,VAUX
lokela,VAUX
ho,CN15
romela,V
ho,CN15
tswa,V
ntle,NLOC
hlapi,N09
e,CS09
phelang,V
.,ZE
,
Tlatsa,V
diforomo,N10
tse,CS10
hlokehang,V
mme,CONJ
o,CSPERS
nehelane,V
ka,PART
tsona,PROEMP10
ho,PART
Lefapha,N05
la,CPOSS05
Ditaba,N10
tsa,CPOSS10
Tikoloho,N09
le,PART
Bohahlaudi,N14
",",ZM
mmoho,ADV
le,PART
lesedi,N05
lena,CD05
:,ZM
,
letsatsi,N05
la,CPOSS05
ho,CN15
tswa,V
le,PART
ho,CN15
kgutlela,V
Afrika,N09
Borwa,N14
,
lebitso,N05
la,CPOSS05
naha,N09
e,CS09
etelwang,V
,
hlalosa,V
lediboho,N05
la,CPOSS05
Afrika,N09
Borwa,N14
moo,CD18
o,CSPERS
tla,PART
kena,V
le,PART
teng,NLOC
ka,PART
hara,NLOC
Afrika,N09
Borwa,N14
,
bopaki,N14
ba,CPOSS14
aterese,N09
moo,CD18
o,CSPERS
dulang,V
teng,NLOC
",",ZM
dinomoro,N10
tsa,CPOSS10
mohala,N03
le,PART
nomoro,N09
ya,CPOSS09
fekese,N09
ya,CPOSS09
Afrika,N09
borwa,N14
,
hlalosa,V
hore,CONJ
na,VCOP
hlapi,N09
eo,CD09
e,CS09
tla,PART
romelwa,V
jwang,QUE
ho,CN15
tswa,V
ka,PART
ntle,NLOC
(,ZPL
e,CS09
entswe,V
leqhwa,N05
",",ZM
e,CS09
hatseditswe,V
),ZPR
,
khophi,N09
e,CS09
netefaditsweng,V
ya,CPOSS09
tokomane,N09
ya,CPOSS09
boitsebiso,N14
ya,CPOSS09
moikopedi,N01
e,ADJC01
mong,ADJ01
le,PART
e,ADJC01
mong,ADJ01
,
bopaki,N14
ba,CPOSS14
tefo,N09
(,ZPL
selipi,N07
sa,CPOSS07
diposishene,N10
ya,CPOSS09
banka,N09
ya,CPOSS09
diranta,N10
tse,CS10
120,RF
bakeng,N07
sa,CPOSS07
moikopedi,N01
ka,PART
mong,N01
),ZPR
,
ha,MNEG
ho,CSINDEF
amohelwe,V
fekese,N09
",",ZM
dikhophi,N10
kapa,CONJ
e-mail,N09
,
diforomo,N10
di,CS10
ka,PART
tliswa,V
ka,PART
letsoho,N05
kapa,CONJ
tsa,CS10
romelwa,V
ka,PART
poso,N09
.,ZE
,
Hlokomela,V
